name,activity,adress,zipcode,city,country,latitude,longitude
Chevroux,city,,1190,Chevroux,FR,46.383333,4.95
Chevry,city,,1170,Chevry,FR,46.283333,6.033333
Chézery-Forens,city,,1200,Chézery-Forens,FR,46.216667,5.883333
Civrieux,city,,1390,Civrieux,FR,45.916667,4.883333
Cize,city,,1250,Cize,FR,46.2,5.433333
Cleyzieu,city,,1230,Cleyzieu,FR,45.9,5.433333
Coligny,city,,1270,Coligny,FR,46.383333,5.35
Collonges,city,,1550,Collonges,FR,46.133333,5.9
Colomieu,city,,1300,Colomieu,FR,45.733333,5.616667
Conand,city,,1230,Conand,FR,45.883333,5.466667
Condamine,city,,1430,Condamine,FR,46.116667,5.566667
Condeissiat,city,,1400,Condeissiat,FR,46.166667,5.083333
Confort,city,,1200,Confort,FR,46.15,5.816667
Confrançon,city,,1310,Confrançon,FR,46.266667,5.066667
Contrevoz,city,,1300,Contrevoz,FR,45.8,5.633333
Conzieu,city,,1300,Conzieu,FR,45.733333,5.6
Corbonod,city,,1420,Corbonod,FR,45.95,5.816667
Corcelles,city,,1110,Corcelles,FR,46.033333,5.583333
Cordieux,city,,1120,Cordieux,FR,45.916667,5.033333
Corlier,city,,1110,Corlier,FR,46.033333,5.5
Cormaranche-en-Bugey,city,,1110,Cormaranche-en-Bugey,FR,45.95,5.6
Cormoranche-sur-Saône,city,,1290,Cormoranche-sur-Saône,FR,46.233333,4.833333
Cormoz,city,,1560,Cormoz,FR,46.45,5.233333
Corveissiat,city,,1250,Corveissiat,FR,46.233333,5.483333
Courmangoux,city,,1370,Courmangoux,FR,46.333333,5.366667
Courtes,city,,1560,Courtes,FR,46.466667,5.1
Crans,city,,1320,Crans,FR,45.966667,5.216667
Cras-sur-Reyssouze,city,,1340,Cras-sur-Reyssouze,FR,46.3,5.166667
Craz-en-Michaille,city,,1200,Craz-en-Michaille,FR,46.033333,5.766667
Cressin-Rochefort,city,,1350,Cressin-Rochefort,FR,45.766667,5.766667
Crottet,city,,1620,Crottet,FR,46.283333,4.9
Cruzilles-lès-Mépillat,city,,1290,Cruzilles-lès-Mépillat,FR,46.216667,4.883333
Cuisiat,city,,1370,Cuisiat,FR,46.3,5.383333
Culoz,city,,1350,Culoz,FR,45.85,5.783333
Curciat-Dongalon,city,,1560,Curciat-Dongalon,FR,46.466667,5.15
Curtafond,city,,1310,Curtafond,FR,46.266667,5.083333
Dagneux,city,,1120,Dagneux,FR,45.85,5.066667
Divonne-les-Bains,city,,1220,Divonne-les-Bains,FR,46.366667,6.133333
